movie_title,movie_score,release_date_x,total_gross,release_date_y,runtime,rating,genre,distributor,director,producer,budget,theaters,actors,writers,cinematographers,composers,month,year,inflation,gross_per_theater,actors_score
A Bug's Life,77,1998-11-25,162798565.0,1998-11-20,96.0,G,Animation,Buena Vista,John Lasseter,Darla K. Anderson,120000000.0,2773.0,"Kevin Spacey*, ,(Voice),Hayden Panettiere*, ,(Voice),Denis Leary* ,(Voice),Bonnie Hunt*, ,(Voice)","John Lasseter, ,(story),Andrew Stanton",,Randy Newman,11,1998,1.0,58708.4619546,172825435.0
A Cinderella Story,25,2004-07-16,64812100.5,2004-07-16,96.0,PG,Family Comedy,Warner Bros.,,"Hunt Lowry,Dylan Sellers,Casey La Scalla",23940000.0,2625.0,"Hilary Duff,Jennifer Coolidge,Chad Michael Murray",,,Christophe Beck,7,2004,1.26,24690.324,98593551.47
A Civil Action,68,1998-12-25,56709981.0,1998-12-25,115.0,PG-13,Drama / Thriller,Buena Vista,Steven Zaillian,Scott Rudin,75000000.0,2319.0,"John Travolta,Robert Duvall,Tony Shalhoub,William H. Macy,John Lithgow,Kathleen Quinlan,James Gandolfini*,Kathy Bates*, ,(Cameo),Sydney Pollack*",Steven Zaillian,,Danny Elfman,12,1998,1.0,24454.4980595,72243559.6667
A Few Good Men,62,1992-12-11,141340178.0,1992-12-11,138.0,R,Drama / Thriller,Columbia,Rob Reiner,,40000000.0,2201.0,"Tom Cruise,Jack Nicholson,Demi Moore,Kevin Bacon,Kiefer Sutherland,Kevin Pollak,J.T. Walsh,Cuba Gooding, Jr.*",Aaron Sorkin,,Marc Shaiman,12,1992,1.0,64216.3462063,133331690.667
A Good Day to Die Hard,28,2013-02-14,68696181.96,2013-02-14,97.0,R,Action,Fox,John Moore,"Wyck Godfrey,Jason Keller, ,(executive),Bruce Willis, ,(executive),Alex Young",93840000.0,3555.0,"Aldis Hodge,Bruce Willis,Jai Courtney,Sebastian Koch,Cole Hauser*,Mary Elizabeth Winstead*",Skip Woods,,Marco Beltrami,2,2013,1.02,19323.8205232,83273565.44
A Good Year,47,2006-11-10,8801974.0,2006-11-10,118.0,PG-13,Romance,Fox,Ridley Scott,Ridley Scott,41300000.0,2067.0,"Russell Crowe,Albert Finney,Abbie Cornish,Marion Cotillard,Valeria Bruni-Tedeschi,Didier Bourdon,Tom Hollander,Freddie Highmore",Marc Klein,,Marc Streitenfeld,11,2006,1.18,4258.33284954,277433101.13
A Guy Thing,27,2003-01-17,20053605.99,2003-01-17,101.0,PG-13,Romantic Comedy,MGM,,,25800000.0,2520.0,Julia Stiles,,,Mark Mothersbaugh,1,2003,1.29,7957.78015476,41145004.21
A Haunted House,20,2013-01-11,40842516.66,2013-01-11,80.0,R,Comedy,Open Road Films,Michael Tiddes,"Rick Alvarez,Brian Kavanaugh-Jones, ,(executive),Marlon Wayans",2550000.0,2160.0,"Marlon Wayans,Cedric the Entertainer,Nick Swardson,David Koechner","Rick Alvarez,Marlon Wayans",,,1,2013,1.02,18908.5725278,92131337.4638
A Haunted House 2,17,2014-04-18,17502780.86,2014-04-18,87.0,R,Horror Comedy,Open Road Films,Michael Tiddes,Rick Alvarez,4040000.0,2310.0,"Marlon Wayans,Jaime Pressly,Gabriel Iglesias,Cedric the Entertainer","Rick Alvarez,Marlon Wayans",,,4,2014,1.01,7576.96141126,86432579.5967
A History of Violence,81,2005-09-23,38435652.26,2005-09-23,96.0,R,Crime Drama,New Line,,"Chris Bender,J.C. Spink",39040000.0,1348.0,"Viggo Mortensen,Maria Bello,Ed Harris",,,Howard Shore,9,2005,1.22,28513.0951484,189129329.796
A Home at the End of the World,59,2004-07-23,1297638.72,2004-07-23,120.0,R,Drama,Warner Independent,Michael Mayer,"Hunt Lowry,John Sloss, ,(executive),John Wells",8190000.0,65.0,"Colin Farrell,Robin Wright Penn,Sissy Spacek","Michael Cunningham ,(novel & screenplay)",,,7,2004,1.26,19963.6726154,90641034.97
A Knight's Tale,54,2001-05-11,75803400.68,2001-05-11,132.0,PG-13,Period Action,Sony / Columbia,Brian Helgeland,"Todd Black,Brian Helgeland",87100000.0,2980.0,"James Purefoy,Heath Ledger,Rufus Sewell,Shannyn Sossamon,Paul Bettany,Mark Addy",Brian Helgeland,,Carter Burwell,5,2001,1.34,25437.3827785,105495324.67
A League of Their Own,67,1992-07-01,107533928.0,1992-07-01,128.0,PG,Sports Drama,Sony / Columbia,Penny Marshall,"Penny Marshall, ,(Executive)",40000000.0,2084.0,"Tom Hanks,Geena Davis,Madonna,Jon Lovitz,David Strathairn,Bill Pullman,Rosie O'Donnell,Tea Leoni*",,,Hans Zimmer,7,1992,1.0,51599.7735125,45360915.0
A Lot Like Love,48,2005-04-22,26651777.18,2005-04-22,97.0,PG-13,Romantic Comedy,Buena Vista,,,36600000.0,2502.0,"Ashton Kutcher,Amanda Peet,Ali Larter,Kal Penn",,John de Borman,Alex Wurman,4,2005,1.22,10652.1891207,72743698.235
