movie_title,domestic_total_gross,release_date,runtime_(mins),rating,genre,distributor,director,producer,production_budget,widest_release_theaters,actors,writers,cinematographers,composers
The Brazilian Job,,TBD,,Not Yet Rated,Action / Crime,Paramount,F. Gary Gray,,N/A,,"Mark Wahlberg,Charlize Theron,Jason Statham,Seth Green",,,
Breach,33231264,2007-02-16 00:00:00,110,PG-13,Drama / Thriller,Universal,Billy Ray,"Sidney Kimmel, ,(executive),Jeffrey Silver, ,(co-producer)",N/A,"1,505","Chris Cooper,Ryan Phillippe,Laura Linney",Billy Ray,,Mychael Danna
Bread and Roses,533479,2001-05-11 00:00:00,110,R,Drama,Lions Gate,,,N/A,39,Adrien Brody,,Barry Ackroyd,George Fenton
Bread and Tulips,5318679,2001-07-27 00:00:00,114,PG-13,Foreign,First Look,,,N/A,84,,,,
"The Bread, My Sweet",1023156,2001-01-18 00:00:00,105,PG-13,Romantic Comedy,Panorama,Melissa Martin,,N/A,8,,,,
The Break,14760,1998-02-20 00:00:00,96,R,Unknown,Castle Hill,,,N/A,1,"Stephen Rea,Alfred Molina,Paul Giamatti*",Ronan Bennett,,Harald Kloser
Break Ke Baad,427628,2010-11-24 00:00:00,113,Unrated,Foreign,Reliance Big Pictures,,,N/A,85,,,,
Break of Hearts,,1935-05-31 00:00:00,78,Unrated,Romance,RKO,Philip Moeller,Pandro S. Berman,N/A,,"Katharine Hepburn,Charles Boyer,John Beal,Jean Hersholt","Victor Heerman,Sarah Y. Mason,Anthony Veiller",Robert de Grasse,
The Break-Up,118703275,2006-06-02 00:00:00,106,PG-13,Romantic Comedy,Universal,Peyton Reed,"Scott Stuber,Vince Vaughn",$52 million,"3,146","Vince Vaughn,Jennifer Aniston,Jason Bateman,Jon Favreau,Justin Long","Jeremy Garelick,Jay Lavender",,
Breakdown,50159144,1997-05-02 00:00:00,93,R,Thriller,Paramount,,,$36 million,"2,348",Kurt Russell,,,
Breaker Morant,,1980-05-16 00:00:00,107,PG,Unknown,New World,,,N/A,,,,,
The Breakfast Club,45875171,1985-02-15 00:00:00,100,R,Comedy / Drama,Universal,John Hughes,John Hughes,N/A,"1,118",,John Hughes,,
Breakfast of Champions,178278,1999-09-17 00:00:00,110,R,Unknown,Buena Vista,,,$12 million,11,"Bruce Willis,Albert Finney,Nick Nolte,Barbara Hershey,Lukas Haas,Omar Epps,Owen Wilson*,Michael Clarke Duncan*",,Elliot Davis,Mark Isham
Breakfast on Pluto,828699,2005-11-16 00:00:00,135,R,Comedy / Drama,Sony Classics,Neil Jordan,,N/A,125,"Cillian Murphy,Liam Neeson,Brendan Gleeson*,Dominic Cooper*",,,
Breakfast with Curtis,6629,2013-12-04 00:00:00,84,Unrated,Drama,Abramorama,,,N/A,2,,,,
Breakfast with Scot,46060,2008-10-10 00:00:00,109,PG-13,Comedy,Regent Releasing,,,N/A,6,Thomas Cavanagh,,,
Breakin',38682707,1984-05-04 00:00:00,86,PG,Music Drama,Cannon Films,,,N/A,"1,121",,,,
Breakin' 2: Electric Boogaloo,15101131,1984-12-21 00:00:00,94,PG,Music Drama,TriStar,,"Pieter Jan Brugge, ,(executive)",N/A,908,,,,
Breakin' All the Rules,12264319,2004-05-14 00:00:00,82,PG-13,Romantic Comedy,Sony / Screen Gems,,,$10 million,"1,318",Jamie Foxx,,,Marcus Miller
Breaking and Entering,930469,2006-12-15 00:00:00,120,R,Drama,Weinstein Company,Anthony Minghella,"Anthony Minghella,Sydney Pollack",N/A,95,"Jude Law,Juliette Binoche,Robin Wright Penn,Vera Farmiga",,Benoit Delhomme,Gabriel Yared
Breaking Away,16424918,1979-07-13 00:00:00,100,PG,Comedy / Drama,Fox,,,N/A,,"Jackie Earle Haley,Dennis Quaid",,,
Breaking Glass,2471,1980-10-17 00:00:00,104,PG,Music Drama,Paramount,Brian Gibson,,N/A,,"Phil Daniels,Hazel O'Connor,Jon Finch,Jonathan Pryce",Brian Gibson,Stephen Goldblatt,
Breaking In,1877618,1989-10-13 00:00:00,94,R,Unknown,Samuel Goldwyn,,,N/A,400,,,,
Breaking News,,N/A,89,Unrated,Foreign,Palm,,,N/A,,,,,
Breaking Point,,1976-06-02 00:00:00,92,R,Crime Drama,Fox,Bob Clark,"Bob Clark,Claude Heroux",N/A,,"Bo Svenson,Robert Culp,John Colicos,Belinda Montgomery,Linda Sorenson","Stanley Mann,Roger Swaybill ,(also story)",Marc Champion,David McLey
Breaking the Rules,52285,1992-10-09 00:00:00,100,PG-13,Unknown,Miramax,,,N/A,75,Jason Bateman,,,David Kitay
Breaking the Waves,3803298,1996-11-13 00:00:00,153,R,Romance,October,Lars Von Trier,,N/A,,Stellan Skarsgard,,,
Breaking Up,11690,1997-10-17 00:00:00,89,R,Unknown,Warner Bros.,,"Arnon Milchan, ,(executive producer)",N/A,2,Russell Crowe,,,Mark Mothersbaugh
Breaking Upwards,77389,2010-04-02 00:00:00,89,Unrated,Romance,IFC,,,"$15,000",5,"Andrea Martin,Olivia Thirlby",,,
Breakup Buddies,777896,2014-10-03 00:00:00,116,Unrated,Foreign,China Lion,,,N/A,24,,,,
The Breakup Guru,208959,2014-06-27 00:00:00,114,Unrated,Foreign,China Lion,,,N/A,12,,,,
Breath Made Visible,52387,2010-04-02 00:00:00,80,Unrated,Documentary,Argot Pictures,,,N/A,3,,,,
Breathe,42297,2015-09-11 00:00:00,91,Unrated,Drama,Film Movement,Melanie Laurent,Bruno Levy,N/A,13,"Isabelle Carre,Josephine Japy,Lou de Laage","Julien Lambroschini,Melanie Laurent",,
Breathe In,89661,2014-03-28 00:00:00,98,R,Drama,Cohen Media Group,Drake Doremus,Steven M. Rales,N/A,41,"Guy Pearce,Felicity Jones,Amy Ryan",,,
Breathing,4630,2012-08-31 00:00:00,94,Unrated,Foreign,Kino Lorber,,,N/A,2,,,,
Breathing Room,16299,1996-11-08 00:00:00,90,R,Romantic Comedy,Arrow Releasing,,,N/A,1,Paul Giamatti*,,,
Breathless,19910002,1983-05-13 00:00:00,100,R,Crime Thriller,Orion Pictures,Jim McBride,,N/A,"1,166",Richard Gere,,,
Breathless (2010 re-issue),363031,2010-05-28 00:00:00,90,Unrated,Crime Drama,Rialto,Jean-Luc Godard,,N/A,12,,,,
The Breed,,2007-01-05 00:00:00,85,R,Horror,First Look,,,N/A,,"Michelle Rodriguez,Taryn Manning",,,
A Breed Apart,,1986-03-07 00:00:00,95,R,Unknown,Orion Pictures,,,N/A,,Rutger Hauer,,,
