movie_title,movie_score,release_date_x,total_gross,release_date_y,runtime,rating,genre,distributor,director,producer,budget,theaters,actors,writers,cinematographers,composers,month,year,inflation,gross_per_theater,actors_score,producer_score,director_score,writers_score,composers_score,cinematographers_score
Exodus: Gods and Kings,52,2014-12-12,65664658.13,2014-12-12,150.0,PG-13,Drama,Fox,Ridley Scott,"Peter Chernin,Ridley Scott",141400000.0,3503.0,"Ewen Bremner,Christian Bale,Joel Edgerton,Aaron Paul,Sigourney Weaver,Ben Kingsley,John Turturro","Jeffrey Caine,Bill Collage,Adam Cooper,Steven Zaillian",Dariusz Wolski,Alberto Iglesias,12,2014,1.01,18745.2635255,210534687.017,123808278.863,98536082.5315,110509452.894,23767136.63,202008802.036
Fargo,85,1996-03-08,24611975.0,1996-03-08,95.0,R,Crime Comedy,Gramercy,Joel Coen,"Tim Bevan, ,(executive producer),Ethan Coen,Eric Fellner, ,(executive producer)",7000000.0,716.0,"Steve Buscemi,William H. Macy,Frances McDormand","Ethan Coen,Joel Coen",Roger Deakins,Carter Burwell,3,1996,1.0,34374.2667598,2832029.0,46452750.9231,2816518.0,2816518.0,25507161.5,9273015.25
Gangs of New York,72,2002-12-20,102711840.0,2002-12-20,160.0,R,Crime Drama,Miramax,Martin Scorsese,"Graham King, ,(co-executive)",132000000.0,2340.0,"Brendan Gleeson,Leonardo DiCaprio,Daniel Day-Lewis,Cameron Diaz,Jim Broadbent,John C. Reilly,Liam Neeson","Jay Cocks,Kenneth Lonergan,Steven Zaillian","Michael Ballhaus, ,(director of photography)",Howard Shore,12,2002,1.32,43893.9487179,224776020.753,48044078.64,20653404.0433,135433792.224,111291481.212,114505556.501
I Am Legend,65,2007-12-14,294851961.5,2007-12-14,100.0,PG-13,Sci-Fi Horror,Warner Bros.,Francis Lawrence,"Dana Goldberg, ,(executive),Akiva Goldsman,David Heyman,James Lassiter,Neal H. Moritz,Erwin Stoff,Michael Tadross, ,(executive)",172500000.0,3648.0,Will Smith,"Akiva Goldsman,Mark Protosevich",Andrew Lesnie,James Newton Howard,12,2007,1.15,80825.647341,172684921.375,259935446.124,92690937.16,128165283.02,107095632.315,327834659.086
I Heart Huckabees,55,2004-10-01,16109644.32,2004-10-01,106.0,R,Comedy,Fox Searchlight,David O. Russell,"Scott Rudin,David O. Russell",25200000.0,901.0,"Jason Schwartzman,Dustin Hoffman,Lily Tomlin,Jude Law,Mark Wahlberg,Naomi Watts,Jonah Hill*,Isla Fisher*",David O. Russell,Peter Deming,Jon Brion,10,2004,1.26,17879.738424,98621468.0613,67366817.0386,44046073.74,44046073.74,37728212.47,74791280.9122
In Time,53,2011-10-28,39771300.7,2011-10-28,109.0,PG-13,Sci-Fi Thriller,Fox,Andrew Niccol,"Marc Abraham,Arnon Milchan, ,(executive),Eric Newman,Andrew Niccol",42400000.0,3127.0,"Justin Timberlake,Amanda Seyfried,Cillian Murphy,Vincent Kartheiser,Johnny Galecki,Olivia Wilde,Alex Pettyfer",Andrew Niccol,Roger Deakins,Craig Armstrong,10,2011,1.06,12718.6762712,139863881.604,66734586.6385,29462551.04,29462551.04,66204137.6745,52347569.1247
Inception,74,2010-07-16,318908052.55,2010-07-16,148.0,PG-13,Sci-Fi Action,Warner Bros.,Christopher Nolan,"Christopher Nolan,Emma Thomas,Thomas Tull, ,(executive)",174400000.0,3792.0,"Leonardo DiCaprio,Ken Watanabe,Joseph Gordon-Levitt,Marion Cotillard,Ellen Page,Tom Hardy,Cillian Murphy,Tom Berenger,Michael Caine,Lukas Haas*",Christopher Nolan,Wally Pfister,Hans Zimmer,7,2010,1.09,84100.2248286,153080279.128,218242916.007,171397925.207,187895654.816,145545538.001,194204019.545
It's Complicated,57,2009-12-25,125136266.25,2009-12-25,118.0,R,Romantic Comedy,Universal,Nancy Meyers,"Nancy Meyers,Scott Rudin",94350000.0,2955.0,"Meryl Streep,Steve Martin,Alec Baldwin,Lake Bell,John Krasinski,Zoe Kazan",Nancy Meyers,John Toll,"Heitor Pereira,Hans Zimmer",12,2009,1.11,42347.2982234,92110040.9793,162595183.167,162595183.167,117752696.92,144044014.73,70671583.938
Julie & Julia,66,2009-08-07,104479222.86,2009-08-07,123.0,PG-13,Comedy / Drama,Sony / Columbia,Nora Ephron,"Nora Ephron,Laurence Mark,Scott Rudin, ,(executive)",44400000.0,2528.0,"Meryl Streep,Amy Adams,Jane Lynch,Stanley Tucci,Chris Messina",Nora Ephron,Stephen Goldblatt,Alexandre Desplat,8,2009,1.11,41328.8065111,141365112.545,64167884.615,83400776.265,92373437.595,45969251.91,51653146.8033
Jumanji,39,1995-12-15,100475249.0,1995-12-15,104.0,PG,Family Adventure,Sony / Columbia,Joe Johnston,"Ted Field, ,(executive),Larry J. Franco*, ,(Executive),Scott Kroopf",65000000.0,2530.0,"Robin Williams,Kirsten Dunst,Bonnie Hunt",Jonathan Hensleigh,Thomas E. Ackerman,James Horner,12,1995,1.0,39713.5371542,139429912.75,160913011.182,46704056.0,100012499.0,81353253.6,10760319.0
