movie_title,domestic_total_gross,release_date,runtime_(mins),rating,genre,distributor,director,producer,production_budget,widest_release_theaters,actors,writers,cinematographers,composers
Collapse,46964,2009-11-06 00:00:00,82,Unrated,Documentary,Vitagraph,,,N/A,5,,,,
Collateral,101005703,2004-08-06 00:00:00,125,R,Crime,DreamWorks,Michael Mann,"Frank Darabont, ,(executive),Michael Mann",$65 million,"3,205","Tom Cruise,Jamie Foxx,Jada Pinkett-Smith,Mark Ruffalo,Peter Berg,Bruce McGill,Javier Bardem*,Jason Statham*",Stuart Beattie,,James Newton Howard
Collateral Beauty,,2016-12-16 00:00:00,,Unknown,Drama,Warner Bros. (New Line),David Frankel,,N/A,,"Naomie Harris,Helen Mirren,Edward Norton,Michael Pena,Will Smith",Allan Loeb,,
Collateral Damage,40077257,2002-02-08 00:00:00,108,R,Action,Warner Bros.,Andrew Davis,,$85 million,"2,824","Arnold Schwarzenegger,John Leguizamo",,,Graeme Revell
The Collection,6842058,2012-11-30 00:00:00,81,R,Horror Thriller,LD Entertainment,Marcus Dunstan,,N/A,"1,403",,"Marcus Dunstan,Patrick Melton",,
The Collector,7712114,2009-07-31 00:00:00,85,R,Horror,Freestyle Releasing,Marcus Dunstan,,N/A,"1,325",,"Marcus Dunstan,Patrick Melton",,
College,4694636,2008-08-29 00:00:00,94,R,Comedy,MGM,,,$7 million,"2,124",,,,
College Road Trip,45610425,2008-03-07 00:00:00,83,G,Comedy,Buena Vista,Roger Kumble,,N/A,"2,706",Martin Lawrence,"Ken Daurio,Cinco Paul",,Ed Shearmur
Collide,,2016-04-16 00:00:00,,PG-13,Action,Unknown,Eran Creevy,,N/A,,"Nicholas Hoult,Felicity Jones,Anthony Hopkins,Ben Kingsley","Eran Creevy,F. Scott Frazier",,
Colliding Dreams,,2016-03-04 00:00:00,134,Unrated,Documentary,International Film Circuit,,,N/A,14,,,,
Colma: The Musical,41131,2007-06-22 00:00:00,100,R,Musical,Roadside Attractions,,,N/A,2,,,,
Colombiana,36665854,2011-08-26 00:00:00,107,PG-13,Action,TriStar,Olivier Megaton,Luc Besson,$40 million,"2,614","Zoe Saldana,Michael Vartan","Luc Besson,Robert Mark Kamen",,
Colonel Chabert,464284,1994-12-23 00:00:00,110,Unrated,Foreign,October,,,N/A,2,,,,
Colonel Redl,2357,1985-10-04 00:00:00,144,R,Foreign,Orion Classics,,,N/A,1,,,,
Colonia,,2016-04-15 00:00:00,110,Unrated,Thriller,Screen Media,,,N/A,,"Daniel Bruhl,Michael Nyqvist,Emma Watson",,,
Color Me Kubrick,71190,2007-03-23 00:00:00,87,Unrated,Comedy,Magnolia,,,N/A,19,John Malkovich,,,
The Color of Money,52293982,1986-10-17 00:00:00,119,R,Drama,Buena Vista,Martin Scorsese,,N/A,"1,205","Forest Whitaker,Paul Newman,Tom Cruise",Richard Price,"Michael Ballhaus, ,(director of photography)",
Color of Night,19726050,1994-08-19 00:00:00,121,R,Romantic Thriller,Buena Vista,Richard Rush,,$40 million,"1,740","Lance Henriksen,Jane March,Bruce Willis",Billy Ray,,
The Color of Olives,1169,2006-07-12 00:00:00,97,Unrated,Documentary,Arab Film Dist.,,,N/A,1,,,,
The Color of Paradise,1817216,2000-03-31 00:00:00,85,PG,Foreign,Sony Classics,,,N/A,33,,,,
Color of the Cross,85802,2006-10-27 00:00:00,90,PG-13,Period Drama,Rocky Mountain Pictures,,,N/A,29,Debbi Morgan,,,
The Color Purple,94175854,1985-12-20 00:00:00,154,PG-13,Period Drama,Warner Bros.,Steven Spielberg,"Kathleen Kennedy,Frank Marshall,Jon Peters, ,(executive),Steven Spielberg",N/A,"1,109","Laurence Fishburne*,Danny Glover",,,
The Color Purple (Re-issue),4292009,1987-01-16 00:00:00,154,PG-13,Unknown,Warner Bros.,,,N/A,601,,,,
The Color Wheel,19001,2012-05-18 00:00:00,83,Unrated,Comedy,APD/Cinema Conservancy,Alex Ross Perry,Alex Ross Perry,N/A,3,,Alex Ross Perry,,
Colors,46616067,1988-04-15 00:00:00,127,R,Action / Crime,Orion Pictures,,,N/A,"1,388","Robert Duvall,Sean Penn,Damon Wayans*,Don Cheadle*",,,
The Colossus of Rhodes,,1961-11-16 00:00:00,127,Unrated,Historical Epic,MGM,Sergio Leone,,N/A,,Rory Calhoun,,Antonio L. Ballesteros,Angelo Francesco Lavagnino
Coma,,1978-01-06 00:00:00,113,PG,Thriller,MGM,Michael Crichton,Martin Erlichman,N/A,,"Genevieve Bujold,Michael Douglas,Elizabeth Ashley,Rip Torn,Richard Widmark,Ed Harris*",Michael Crichton,"Victor J. Kemper ,(director of photography)",Jerry Goldsmith
The Comancheros,,1961-10-30 00:00:00,107,Unrated,Western,Fox,Michael Curtiz,George Sherman,N/A,,"John Wayne,Stuart Whitman,Ina Balin,Nehemiah Persoff,Lee Marvin,Michael Ansara,Patrick Wayne,Bruce Cabot,Joan O'Brien,Jack Elam*,Edgar Buchanan*,Henry Daniell*","James Edward Grant,Clair Huffaker","William Clothier ,(director of photography)",Elmer Bernstein
Come Away Home,72810,2005-05-06 00:00:00,102,PG,Family,Innovation Film Group,,,$1.2 million,16,,,,
Come Back to Me,7744,2014-07-25 00:00:00,90,R,Horror,Freestyle Releasing,,,N/A,10,,,,
"Come Back to the Five and Dime, Jimmy Dean, Jimmy Dean",840958,1982-11-12 00:00:00,109,PG,Drama,Cinecom,Robert Altman,,N/A,,"Cher,Kathy Bates",,,
Come Blow Your Horn,,1963-06-05 00:00:00,112,Unrated,Comedy,Paramount,Bud Yorkin,"Norman Lear,Bud Yorkin",N/A,,"Frank Sinatra,Lee J. Cobb,Molly Picon,Barbara Rush,Jill St. John,Tony Bill",Norman Lear,William Daniels,Nelson Riddle
Come Early Morning,119452,2006-11-10 00:00:00,97,R,Romance,IDP,Joey Lauren Adams,Julie Yorn,N/A,22,"Ashley Judd,Laura Prepon,Diane Ladd,Scott Wilson,Tim Blake Nelson",Joey Lauren Adams,,
Come Out and Play,2638,2013-03-22 00:00:00,87,R,Horror,Cinedigm Entertainment,,,N/A,10,,,,
Come See the Paradise,947306,1990-12-25 00:00:00,138,R,War Drama,Fox,,,N/A,97,Dennis Quaid,,,Randy Edelman
Come Undone,326484,2001-06-29 00:00:00,98,R,Foreign,Picture This!,,,N/A,,,,,
Come Undone (2010),10035,2010-12-03 00:00:00,126,Unrated,Foreign,Film Movement,,,N/A,2,,,,
The Comebacks,13349927,2007-10-19 00:00:00,84,PG-13,Sports Comedy,Fox Atomic,Tom Brady,Andrew Panay,N/A,"2,812",Bradley Cooper*,,,Christopher Lennertz
Comedian,2751988,2002-10-11 00:00:00,100,R,Documentary,Miramax,,,N/A,244,,,,
The Comedians,,1967-10-31 00:00:00,156,Unrated,Drama,MGM,Peter Glenville,Peter Glenville,N/A,,"Richard Burton,Elizabeth Taylor,Alec Guinness,Peter Ustinov,Paul Ford,Lillian Gish",Graham Greene,Henri Decae,Laurence Rosenthal
The Comedians of Comedy,549,2005-11-11 00:00:00,103,R,Comedy,Vitagraph,,,N/A,2,"Zach Galifianakis,Patton Oswalt",,,
The Comedy,41113,2012-11-09 00:00:00,90,Unrated,Drama,Tribeca Film,,,N/A,4,,,,
Comedy of Power,80550,2007-01-05 00:00:00,110,Unrated,Foreign,Koch Lorber Films,Claude Chabrol,,N/A,2,Isabelle Huppert,,,
Comes a Horseman,9585769,1978-10-25 00:00:00,118,PG,Western,MGM,Alan J. Pakula,"Irwin Winkler*, ,(Executive)",N/A,,,,,
Comet,8623,2014-12-05 00:00:00,107,R,Comedy / Drama,IFC,,,N/A,8,"Emmy Rossum,Justin Long",,,
Comfort and Joy,1057368,1984-10-10 00:00:00,90,PG,Unknown,Universal,,,N/A,,,,,
The Comfort of Strangers,1244381,1991-03-15 00:00:00,107,R,Drama,Skouras,Paul Schrader,,N/A,17,"Christopher Walken,Helen Mirren",,Dante Spinotti,
Comic-Con Episode IV: A Fan's Hope,34665,2012-04-06 00:00:00,88,PG-13,Documentary,Wrekin Hill,Morgan Spurlock,"Stan Lee,Morgan Spurlock,Joss Whedon",$1.5 million,6,,"Morgan Spurlock,Joss Whedon",,
Comin' at Ya!,12000000,1981-06-16 00:00:00,91,R,Western,Filmways,,,N/A,,,,,
Coming Home,32653905,1978-02-15 00:00:00,128,R,War Drama,United Artists,,,N/A,,Jon Voight,,,
Coming Home (2015),377607,2015-09-09 00:00:00,109,PG-13,Foreign,Sony Classics,,,N/A,55,,,,
Coming Soon,5453,2000-05-12 00:00:00,96,R,Unknown,Unapix Ent.,,Beau Flynn,N/A,1,"Ashton Kutcher*,Ryan Reynolds",,,Christophe Beck
Coming to America,128152301,1988-06-29 00:00:00,116,R,Romantic Comedy,Paramount,John Landis,,N/A,"2,064","Eddie Murphy,James Earl Jones,Samuel L. Jackson*,Cuba Gooding, Jr.*",,,
Coming Up Roses,4299,1987-09-11 00:00:00,93,PG,Comedy,Skouras,,,N/A,,,,Dick Pope,
Coming Up Roses (2012),,2012-11-09 00:00:00,93,Not Yet Rated,Drama,Dada Films,,,N/A,,,,,
Command Decision,,1948-12-25 00:00:00,112,Unrated,War,MGM,Sam Wood,Sidney Franklin,N/A,,"Clark Gable,Walter Pidgeon,Van Johnson,Brian Donlevy,Charles Bickford,John Hodiak,Edward Arnold,Marshall Thompson*,Richard Quine*,Cameron Mitchell*,Ray Collins*,John McIntire*,Moroni Olsen*,John Ridgely*,James Millican*","George Froeschel,William R. Laidlaw,William Wister Haines* ,(play)",Harold Rosson,Miklos Rozsa
Commandments,548561,1997-05-02 00:00:00,88,R,Unknown,Gramercy,,"Joe Medjuck,Ivan Reitman, ,(executive producer)",$6 million,269,Courteney Cox,,"Slawomir Idziak, ,(director of photography)",
Commando,35100000,1985-10-04 00:00:00,90,R,Action,Fox,,Joel Silver,N/A,"1,504",Arnold Schwarzenegger,,,James Horner
Comment Ma Mere Accoucha de Moi Durant,,2003-02-07 00:00:00,99,Unrated,Unknown,Alliance,,,N/A,41,,,,
Commitment,76543,2013-12-06 00:00:00,108,Unrated,Foreign,Well Go USA,,,N/A,22,,,,
The Commitments,14919570,1991-08-16 00:00:00,118,R,Music Drama,Fox,,"Tom Rosenberg, ,(executive)",N/A,588,,,,
Committed,40361,2000-04-28 00:00:00,98,R,Unknown,Miramax,,,$3 million,13,"Heather Graham,Casey Affleck,Luke Wilson,Goran Visnjic,Mark Ruffalo",,,
Communion,1919653,1989-11-10 00:00:00,101,R,Unknown,New Line,,"Gary Barber, ,(executive)",N/A,240,Christopher Walken,,,
Compadres,,2016-04-22 00:00:00,101,Not Yet Rated,Action,Lionsgate,,,N/A,,"Kevin Pollak,Eric Roberts",,,
The Company,2283914,2003-12-25 00:00:00,112,PG-13,Drama,Sony Classics,Robert Altman,"John Sloss, ,(executive),John Wells, ,((executive))",$15 million,55,"Neve Campbell,Malcolm McDowell,James Franco",,Andrew Dunn,
Company Business,1501785,1991-09-06 00:00:00,98,PG-13,Action Comedy,MGM,,,N/A,232,,,,Michael Kamen
Company Man,146193,2001-03-09 00:00:00,81,PG-13,Unknown,Paramount Classics,Douglas McGrath,"Susan Cartsonis, ,(co-executive)",$16 million,104,"Ryan Phillippe*,Sigourney Weaver",,,
The Company Men,4441272,2011-01-21 00:00:00,105,R,Drama,Weinstein Company,John Wells,John Wells,$15 million,277,"Ben Affleck,Tommy Lee Jones,Kevin Costner,Maria Bello,Chris Cooper,Craig T. Nelson,Rosemarie DeWitt",John Wells,Roger Deakins,Aaron Zigman
The Company of Wolves,4389334,1985-04-19 00:00:00,95,R,Unknown,Cannon Films,Neil Jordan,,$2 million,995,,,,George Fenton
The Company You Keep,5133027,2013-04-05 00:00:00,125,R,Thriller,Sony Classics,Robert Redford,Robert Redford,N/A,807,"Robert Redford,Shia LaBeouf,Julie Christie,Sam Elliott,Brendan Gleeson,Terrence Howard,Richard Jenkins,Anna Kendrick,Brit Marling,Stanley Tucci,Nick Nolte,Chris Cooper,Susan Sarandon",Lem Dobbs,,Cliff Martinez
Compared to What? The Improbable Journey of Barney Frank,,TBD,87,Not Yet Rated,Documentary,Pack Wolf Productions,,,N/A,,,,,
The Competition,14287755,1980-12-03 00:00:00,126,PG,Music Drama,Columbia,,,N/A,,,,,
Compliance,319285,2012-08-17 00:00:00,90,R,Drama / Thriller,Magnolia,,,N/A,21,,,,
