movie_title,movie_score,release_date_x,total_gross,release_date_y,runtime,rating,genre,distributor,director,producer,budget,theaters,actors,writers,cinematographers,composers,month,year,inflation,gross_per_theater,actors_score,producer_score
A Haunted House 2,17,2014-04-18,17502780.86,2014-04-18,87.0,R,Horror Comedy,Open Road Films,Michael Tiddes,Rick Alvarez,4040000.0,2310.0,"Marlon Wayans,Jaime Pressly,Gabriel Iglesias,Cedric the Entertainer","Rick Alvarez,Marlon Wayans",,,4,2014,1.01,7576.96141126,86432579.5967,56944171.9175
A History of Violence,81,2005-09-23,38435652.26,2005-09-23,96.0,R,Crime Drama,New Line,,"Chris Bender,J.C. Spink",39040000.0,1348.0,"Viggo Mortensen,Maria Bello,Ed Harris",,,Howard Shore,9,2005,1.22,28513.0951484,189129329.796,100966505.444
A Home at the End of the World,59,2004-07-23,1297638.72,2004-07-23,120.0,R,Drama,Warner Independent,Michael Mayer,"Hunt Lowry,John Sloss, ,(executive),John Wells",8190000.0,65.0,"Colin Farrell,Robin Wright Penn,Sissy Spacek","Michael Cunningham ,(novel & screenplay)",,,7,2004,1.26,19963.6726154,90641034.97,57204052.6863
A League of Their Own,67,1992-07-01,107533928.0,1992-07-01,128.0,PG,Sports Drama,Sony / Columbia,Penny Marshall,"Penny Marshall, ,(Executive)",40000000.0,2084.0,"Tom Hanks,Geena Davis,Madonna,Jon Lovitz,David Strathairn,Bill Pullman,Rosie O'Donnell,Tea Leoni*",,,Hans Zimmer,7,1992,1.0,51599.7735125,45360915.0,176333704.333
A Man Apart,36,2003-04-04,34489566.42,2003-04-04,105.0,R,Action,New Line,F. Gary Gray,"Michael De Luca, ,(executive),Vin Diesel,Tucker Tooley,George Zakk, ,(co-producer)",46440000.0,2495.0,"Vin Diesel,Timothy Olyphant",,,,4,2003,1.29,13823.473515,135074452.788,187584384.24
A Midsummer Night's Dream,61,1999-05-14,22982945.7,1999-05-14,116.0,PG-13,Period Comedy,Fox Searchlight,Michael Hoffman,"Arnon Milchan, ,(executive producer)",15730000.0,1099.0,"Kevin Kline,Michelle Pfeiffer,Rupert Everett,Stanley Tucci,Calista Flockhart,Anna Friel,Christian Bale,Dominic West,David Strathairn,Sophie Marceau,Sam Rockwell",,,,5,1999,1.43,20912.5984531,127120029.0,48109185.515
A Mighty Heart,74,2007-06-22,10553305.05,2007-06-22,108.0,R,War Drama,Paramount Vantage,Michael Winterbottom,"Dede Gardner,Brad Pitt",18400000.0,1355.0,Angelina Jolie,John Orloff,,,6,2007,1.15,7788.41701107,77589651.574,156213491.7
A Million Ways to Die in the West,44,2014-05-30,43570693.0,2014-05-30,116.0,R,Western Comedy,Universal,Seth MacFarlane,"Jason Clark,Seth MacFarlane,Scott Stuber",40400000.0,3160.0,"Seth MacFarlane,Charlize Theron,Liam Neeson,Amanda Seyfried,Sarah Silverman,Giovanni Ribisi,Neil Patrick Harris","Seth MacFarlane,Alec Sulkin,Wellesley Wild",,,5,2014,1.01,13788.1939873,196999804.56,227568106.48
A Perfect Getaway,63,2009-08-07,17222160.6,2009-08-07,97.0,R,Thriller,Universal,David Twohy,"Mark Canton,Ryan Kavanaugh,Tucker Tooley",15540000.0,2159.0,"Chris Hemsworth,Milla Jovovich,Steve Zahn,Timothy Olyphant",David Twohy,,,8,2009,1.11,7976.91551644,70877357.1483,61275992.7047
A Single Man,77,2009-12-11,10185360.0,2009-12-11,99.0,R,Drama,Weinstein Company,Tom Ford,Chris Weitz,7770000.0,354.0,"Colin Firth,Julianne Moore,Nicholas Hoult,Matthew Goode,Ginnifer Goodwin,Jon Hamm*",,,,12,2009,1.11,28772.2033898,83662171.28,103885460.942
